,ax,ay,az,gx,gy,gz,time
0,-0.394230856651488,-0.252170110860888,0.886896543996183,-0.190734863281247,-2.86102294921875,-0.511169433593761,0.0
1,-0.394231572724085,-0.256225522168689,0.890584799733138,-0.122073242894119,-2.82288037215368,-0.907875238664327,0.0033333333333333335
2,-0.39558314064319,-0.258806928466656,0.893410947367719,-1.48944945496526e-05,-2.66267730952444,-1.2740877861848,0.006666666666666667
3,-0.395707020130382,-0.253277739700082,0.890587108003366,0.190712115657293,-2.79993004900024,-1.41906388317805,0.01
4,-0.39619623975163,-0.252414814061836,0.880138459472576,0.465341122595018,-3.09752062912805,-1.50297039681707,0.013333333333333334
5,-0.393613468437917,-0.251676984271495,0.87472041543163,0.617989258139023,-2.96789811448251,-1.3352298210824,0.016666666666666666
6,-0.392867568937712,-0.25105644417209,0.873357133381206,0.65610172452532,-2.61695766406002,-1.01474550475425,0.02
7,-0.400601203494071,-0.252896776316959,0.872970671185904,0.709537475660871,-2.32702209585056,-0.679140993683738,0.023333333333333334
8,-0.403789191896791,-0.251906995158677,0.873933235359666,0.511276755192992,-2.0981478890533,-0.305244467073515,0.02666666666666667
9,-0.40021603997454,-0.251900467184295,0.875629185315438,0.312809977254567,-2.0065163572988,-0.343221922966582,0.03
10,-0.393087471396877,-0.254722458757209,0.882132384522424,0.381416625735841,-1.94555401637807,-0.457795532370995,0.03333333333333333
11,-0.389889467797921,-0.252885689251837,0.882878396830236,0.434892944357296,-1.95305517569582,-0.419610880526735,0.03666666666666667
12,-0.39100011894025,-0.249074219585171,0.885949262052188,0.366248901308178,-2.05230080160489,-0.259538614692487,0.04
13,-0.390511955269382,-0.250674102652957,0.891248283255499,0.228963866866043,-2.03706884757589,-0.0534399412723095,0.043333333333333335
14,-0.399965129482365,-0.247852312521775,0.886704853969099,-0.0608441987284339,-2.14373500644023,0.31248936141866,0.04666666666666667
15,-0.403786457809965,-0.247597887565435,0.877731143891667,-0.36610099368828,-2.34215344292907,0.336007484551343,0.05
16,-0.397883247165077,-0.254724513739249,0.871951087571969,-0.2672545755402,-2.56330932772485,-0.571544012481913,0.05333333333333334
17,-0.403534184526034,-0.256823146006389,0.874663388372564,-0.0076914869679867,-2.65510025965984,-1.1063420401642,0.056666666666666664
18,-0.40625624147629,-0.254123962796828,0.885364808865436,0.0914964606302784,-2.8149745922651,-0.671836908707773,0.06
19,-0.402574583118503,-0.252776608887403,0.896202653161164,0.0916120597758177,-3.1660306418331,0.197711678403505,0.06333333333333334
20,-0.403441451551702,-0.254499474422151,0.900648395806186,0.0610143638976984,-3.34923142598569,0.663809305099504,0.06666666666666667
21,-0.402716946317085,-0.255737500352939,0.896498435774529,0.0610569658209972,-3.50936881737802,0.427529618172964,0.07
22,-0.397067418482674,-0.256349227631633,0.890348665966786,0.0457763671875,-3.6087150266761,-0.0682194283821791,0.07333333333333333
23,-0.39386362032269,-0.260401021865064,0.883470336785514,0.106716147403929,-3.67724894402054,-0.724232146271523,0.07666666666666666
24,-0.399135790769045,-0.259179372236376,0.875832511601925,0.160229715769794,-3.883150495976,-1.28141508529785,0.08
25,-0.400131281990716,-0.254012605905738,0.875333006683032,0.282067630867069,-3.92166405973722,-1.49533544967921,0.08333333333333333
26,-0.397538023991735,-0.24922154872985,0.872628612068451,0.274900264105344,-3.5633979202222,-1.27452576951823,0.08666666666666667
27,-0.392752786337805,-0.245770658602199,0.870394758139221,0.160175415831481,-3.11312792334815,-0.908135208725774,0.09
28,-0.391869068475805,-0.245401306563285,0.871620452772562,0.0612665970650163,-2.86876806415751,-0.747738524266254,0.09333333333333334
29,-0.39507712013142,-0.246503001710041,0.873212916135945,-0.0762639979919273,-2.7238585579194,-0.709548665066536,0.09666666666666666
30,-0.394208509946866,-0.249573610812185,0.877261707123884,-0.0001857872356163,-2.52556182388827,-0.755201682706307,0.1
31,-0.393722942134678,-0.250683754739282,0.882912870809299,0.0610991197659362,-2.18248656230702,-0.671674554571713,0.10333333333333333
32,-0.387704559762955,-0.251905994988838,0.882796941417733,-0.0608371623900174,-2.0368668454721,-0.442702876672483,0.10666666666666667
33,-0.387556392736086,-0.257426552044908,0.881296559670672,-0.099301185590008,-1.93827440528181,-0.762021015850295,0.11
34,-0.393942043083315,-0.258296551257319,0.884718262109842,-0.0381644893632791,-1.70147759741795,-1.38805933689069,0.11333333333333333
35,-0.397375097689189,-0.252882752034445,0.883478838562316,-0.106631270273726,-1.70122880325411,-1.4347227288353,0.11666666666666667
36,-0.39676359611013,-0.247107033877634,0.882351431051146,-0.106996862694752,-1.74714988158198,-0.855493019489163,0.12
37,-0.400309055063098,-0.246232782058271,0.887631095134438,0.0912480538138146,-1.72428124913265,-0.335959954866037,0.12333333333333334
38,-0.400950048144009,-0.247471329760558,0.891327176343045,0.251672263809138,-1.83074186918924,-0.0538554380404659,0.12666666666666668
39,-0.395293186517902,-0.248938971795354,0.887296256069415,0.130120961860436,-2.11292103032706,0.0003209560603323,0.13
40,-0.392477972284928,-0.256066095271139,0.8794482215716,0.068397162060695,-2.31921252732128,-0.198158574181304,0.13333333333333333
41,-0.391982815041824,-0.258177104124148,0.87760350048772,0.175454997246283,-2.51727865586315,-0.533341000123607,0.13666666666666666
42,-0.397633265604716,-0.258412851319723,0.876277785927184,0.259183558244332,-2.6018178053926,-1.16623966977223,0.14
43,-0.405627958473249,-0.256226268740536,0.875539329457942,0.396551762095679,-2.44927868063407,-1.48027929259182,0.14333333333333334
44,-0.403449695535128,-0.249095065293968,0.881076922975404,0.336055004183208,-2.35750551295676,-1.24411117300555,0.14666666666666667
45,-0.394718368113818,-0.251410858220027,0.886126173744711,0.145166498782497,-2.33464094938222,-0.7866827588836,0.15
46,-0.393600387982843,-0.252542716300322,0.89079520483784,0.251226759089416,-2.3573648100602,-0.549174686134739,0.15333333333333332
47,-0.398387972914191,-0.249825559855572,0.888853288929594,0.526114550484989,-2.25873509656405,-0.655934900659032,0.15666666666666668
48,-0.399387321184958,-0.24946297127767,0.882451009085811,0.564772293215759,-2.18941449532758,-0.701953571350815,0.16
49,-0.396923148797889,-0.250434739872426,0.881827943469163,0.511144287746495,-2.44080274966588,-0.549769031500593,0.16333333333333333
50,-0.39667630637819,-0.251306610872175,0.882691215760164,0.450365167453182,-2.60170049852606,-0.313138683717096,0.16666666666666666
